"","Subject","trialNum","soundfile","leftprompt","rightprompt","response","keyResp","keyRT","Time"
"156","ABCD_1702",30,"dash-7.wav","T","D","T","z",1.54023194313,161.430681944
"157","ABCD_1702",31,"dash-1.wav","T","D","D","m",1.48847103119,163.184922934
"158","ABCD_1702",32,"dash-6.wav","T","D","T","z",1.39837408066,164.838836908
"159","ABCD_1702",33,"dash-4.wav","T","D","T","z",1.36887598038,166.475995064
"160","ABCD_1702",34,"dash-3.wav","T","D","D","m",1.47622609138,168.213522911
"161","ABCD_1702",35,"dash-2.wav","T","D","D","m",1.46706199646,169.934405088
"162","ABCD_1702",36,"dath-3.wav","T","D","D","m",1.39101815224,172.624008894
"163","ABCD_1702",37,"dath-2.wav","T","D","D","m",2.49770498276,175.380794048
"164","ABCD_1702",38,"dath-5.wav","T","D","T","z",1.43752598763,177.084719896
"165","ABCD_1702",39,"dath-7.wav","T","D","T","z",1.21397018433,178.554848909
"166","ABCD_1702",40,"dath-6.wav","T","D","T","z",1.51211595535,180.325608969
"167","ABCD_1702",41,"dath-1.wav","T","D","D","m",1.62985706329,182.213586092
"168","ABCD_1702",42,"dath-4.wav","T","D","T","z",4.04451394081,186.524069071
"169","ABCD_1702",43,"dath-1.wav","D","T","D","z",1.31522417068,189.130049944
"170","ABCD_1702",44,"dath-4.wav","D","T","T","m",2.10502505302,191.502302885
"171","ABCD_1702",45,"dath-7.wav","D","T","T","m",1.52533888817,193.290004015
"172","ABCD_1702",46,"dath-3.wav","D","T","D","z",1.49010801315,195.044171095
"173","ABCD_1702",47,"dath-6.wav","D","T","T","m",1.47216200829,196.781717062
"174","ABCD_1702",48,"dath-5.wav","D","T","T","m",1.49497008324,198.535702944
"175","ABCD_1702",49,"dath-2.wav","D","T","D","z",1.4695289135,200.273317099
"176","ABCD_1702",50,"dash-5.wav","D","T","T","m",1.91279911995,203.480671883
"177","ABCD_1702",51,"dash-3.wav","D","T","D","z",1.47775793076,205.218329906
"178","ABCD_1702",52,"dash-1.wav","D","T","D","z",1.43617010117,206.922388077
"179","ABCD_1702",53,"dash-7.wav","D","T","T","m",1.51658391953,208.693212986
"180","ABCD_1702",54,"dash-4.wav","D","T","D","z",1.57826399803,210.530972004
"181","ABCD_1702",55,"dash-6.wav","D","T","T","m",1.52491593361,212.318567038
"182","ABCD_1702",56,"dash-2.wav","D","T","D","z",1.53778815269,214.122976065
"183","ABCD_1702",57,"dask-3.wav","D","T","D","z",1.274050951,216.695630074
"184","ABCD_1702",58,"dask-4.wav","D","T","T","m",1.49774503708,218.449899912
"185","ABCD_1702",59,"dask-7.wav","D","T","T","m",1.43180012703,220.137243986
"186","ABCD_1702",60,"dask-5.wav","D","T","T","m",1.35269093513,221.757816076
"187","ABCD_1702",61,"dask-6.wav","D","T","T","m",1.39653015137,223.411643028
"188","ABCD_1702",62,"dask-1.wav","D","T","D","z",1.49544811249,225.165988922
"189","ABCD_1702",63,"dask-2.wav","D","T","D","z",1.43706893921,226.870038033
"190","ABCD_1702",64,"gith-7.wav","G","K","K","m",1.36196899414,229.526190042
"191","ABCD_1702",65,"gith-6.wav","G","K","K","m",1.4860329628,231.280482054
"192","ABCD_1702",66,"gith-3.wav","G","K","G","z",1.71631622314,233.251808882
"193","ABCD_1702",67,"gith-4.wav","G","K","G","z",1.73746705055,235.256622076
"194","ABCD_1702",68,"gith-1.wav","G","K","G","z",1.63696503639,237.161114931
"195","ABCD_1702",69,"gith-2.wav","G","K","G","z",1.53275299072,238.948797941
"196","ABCD_1702",70,"gith-5.wav","G","K","K","m",3.00230789185,242.20647192
"197","ABCD_1702",71,"gift-6.wav","K","G","K","z",1.45301294327,244.96311903
"198","ABCD_1702",72,"gift-4.wav","K","G","G","m",1.72453117371,246.951292992
"199","ABCD_1702",73,"gift-3.wav","K","G","G","m",1.54480099678,248.755518913
"200","ABCD_1702",74,"gift-1.wav","K","G","G","m",1.50915694237,250.526221037
"201","ABCD_1702",75,"gift-5.wav","K","G","K","z",1.52303791046,252.313854933
"202","ABCD_1702",76,"gift-2.wav","K","G","G","m",1.53574204445,254.10124898
"203","ABCD_1702",77,"gift-7.wav","K","G","K","z",1.87676095963,256.240025997
"204","ABCD_1702",78,"giss-5.wav","G","K","G","z",2.82239103317,260.366367102
"205","ABCD_1702",79,"giss-2.wav","G","K","G","z",1.58011603355,262.203947067
"206","ABCD_1702",80,"giss-4.wav","G","K","G","z",2.00707197189,264.47614789
"207","ABCD_1702",81,"giss-1.wav","G","K","G","z",1.54331207275,266.280963898
"208","ABCD_1702",82,"giss-3.wav","G","K","G","z",1.97094011307,268.519100904
"209","ABCD_1702",83,"giss-6.wav","G","K","K","m",1.90932703018,270.690864086
"210","ABCD_1702",84,"giss-7.wav","G","K","K","m",1.82600402832,272.779409885
"211","ABCD_1702",85,"gift-1.wav","G","K","G","z",1.20649886131,275.285260916
"212","ABCD_1702",86,"gift-2.wav","G","K","G","z",1.44849705696,276.989403009
"213","ABCD_1702",87,"gift-7.wav","G","K","K","m",1.64090895653,278.893938065
"214","ABCD_1702",88,"gift-4.wav","G","K","G","z",1.55276203156,280.714834929
"215","ABCD_1702",89,"gift-3.wav","G","K","G","z",1.56427311897,282.535819054
"216","ABCD_1702",90,"gift-6.wav","G","K","K","m",1.8077480793,284.607212067
"217","ABCD_1702",91,"gift-5.wav","G","K","K","m",3.11305713654,287.982438087
"218","ABCD_1702",92,"gith-3.wav","K","G","G","m",2.39118003845,291.674345016
"219","ABCD_1702",93,"gith-1.wav","K","G","G","m",1.93551301956,293.862953901
"220","ABCD_1702",94,"gith-7.wav","K","G","K","z",1.64313483238,295.76739502
"221","ABCD_1702",95,"gith-5.wav","K","G","K","z",1.54712605476,297.572123051
"222","ABCD_1702",96,"gith-6.wav","K","G","K","z",1.52699923515,299.359287024
"223","ABCD_1702",97,"gith-4.wav","K","G","K","z",1.70027494431,301.313968897
"224","ABCD_1702",98,"gith-2.wav","K","G","G","m",1.52203392982,303.101553917
"225","ABCD_1702",99,"dash-2.wav","T","D","D","m",1.30712413788,305.707626104
"226","ABCD_1702",100,"dash-1.wav","T","D","D","m",1.42534399033,307.395320892
"227","ABCD_1702",101,"dash-3.wav","T","D","T","z",1.53799104691,309.199426889
"228","ABCD_1702",102,"dash-6.wav","T","D","T","z",1.42211294174,310.886795998
"229","ABCD_1702",103,"dash-7.wav","T","D","T","z",1.61523199081,312.757816076
"230","ABCD_1702",104,"dash-4.wav","T","D","T","z",1.54475712776,314.56212306
"231","ABCD_1702",105,"dash-5.wav","T","D","T","z",1.46897387505,316.299649954
"232","ABCD_1702",106,"dath-6.wav","D","T","T","m",2.96822500229,320.559743881
"233","ABCD_1702",107,"dath-3.wav","D","T","D","z",1.44883298874,322.263844967
"234","ABCD_1702",108,"dath-5.wav","D","T","T","m",1.51290917397,324.034810066
"235","ABCD_1702",109,"dath-7.wav","D","T","T","m",1.53424596786,325.822436094
"236","ABCD_1702",110,"dath-2.wav","D","T","D","z",1.42706394196,327.509744883
"237","ABCD_1702",111,"dath-4.wav","D","T","T","m",1.50828695297,329.280567884
"238","ABCD_1702",112,"dath-1.wav","D","T","D","z",1.48160910606,331.018095016
"239","ABCD_1702",113,"giss-3.wav","G","K","G","z",1.26897978783,333.59078002
"240","ABCD_1702",114,"giss-2.wav","G","K","G","z",1.48461389542,335.328265905
"241","ABCD_1702",115,"giss-5.wav","G","K","K","m",1.89962387085,337.483623981
"242","ABCD_1702",116,"giss-1.wav","G","K","G","z",1.54457998276,339.287718058
"243","ABCD_1702",117,"giss-4.wav","G","K","G","z",1.86897802353,341.409358978
"244","ABCD_1702",118,"giss-7.wav","G","K","K","m",1.71577692032,343.380812883
"245","ABCD_1702",119,"giss-6.wav","G","K","K","m",1.48887395859,345.135027885
"246","ABCD_1702",120,"dask-4.wav","T","D","T","z",2.52343988419,348.960861921
"247","ABCD_1702",121,"dask-1.wav","T","D","D","m",1.52612709999,350.7482481
"248","ABCD_1702",122,"dask-2.wav","T","D","D","m",1.45093488693,352.452364922
"249","ABCD_1702",123,"dask-6.wav","T","D","T","z",1.47536611557,354.18993187
"250","ABCD_1702",124,"dask-7.wav","T","D","T","z",1.56189203262,356.01094389
"251","ABCD_1702",125,"dask-5.wav","T","D","T","z",1.62945008278,357.898801088
"252","ABCD_1702",126,"dask-3.wav","T","D","D","m",1.77397799492,359.937050104
"253","ABCD_1703",1,"gift-4.wav","G","K","G","z",1.36607408524,90.5088050365
"254","ABCD_1703",2,"gift-6.wav","G","K","G","z",2.1540927887,92.9306049347
"255","ABCD_1703",3,"gift-3.wav","G","K","G","z",2.14001893997,95.3357000351
"256","ABCD_1703",4,"gift-7.wav","G","K","K","m",1.59879207611,97.1896419525
"257","ABCD_1703",5,"gift-2.wav","G","K","G","z",1.56877207756,99.0269188881
"258","ABCD_1703",6,"gift-1.wav","G","K","G","z",1.78746509552,101.081279039
"259","ABCD_1703",7,"gift-5.wav","G","K","G","z",1.8130710125,103.152359962
"260","ABCD_1703",8,"gith-7.wav","G","K","K","m",1.46680808067,105.908252954
"261","ABCD_1703",9,"gith-6.wav","G","K","K","m",1.63406920433,107.795511961
"262","ABCD_1703",10,"gith-5.wav","G","K","G","z",2.32260608673,110.384891987
"263","ABCD_1703",11,"gith-4.wav","G","K","G","z",1.93336582184,112.57246089
"264","ABCD_1703",12,"gith-3.wav","G","K","G","z",1.61781406403,114.443039894
"265","ABCD_1703",13,"gith-2.wav","G","K","G","z",1.65928006172,116.363815069
"266","ABCD_1703",14,"gith-1.wav","G","K","G","z",1.46615386009,118.08396697
"267","ABCD_1703",15,"dask-2.wav","D","T","D","z",1.1662838459,120.539643049
"268","ABCD_1703",16,"dask-7.wav","D","T","T","m",1.61835598946,122.426662922
"269","ABCD_1703",17,"dask-3.wav","D","T","D","z",1.48327994347,124.163686037
"270","ABCD_1703",18,"dask-6.wav","D","T","T","m",1.71415400505,126.134540081
"271","ABCD_1703",19,"dask-4.wav","D","T","D","z",1.7031519413,128.105463982
"272","ABCD_1703",20,"dask-5.wav","D","T","T","m",1.66009283066,130.026145935
"273","ABCD_1703",21,"dask-1.wav","D","T","D","z",1.45953989029,131.746473074
"274","ABCD_1703",22,"dath-4.wav","T","D","D","m",2.26358318329,135.304080009
"275","ABCD_1703",23,"dath-5.wav","T","D","D","m",1.70145010948,137.258122921
"276","ABCD_1703",24,"dath-7.wav","T","D","T","z",1.35548400879,138.878310919
"277","ABCD_1703",25,"dath-1.wav","T","D","D","m",1.48718810081,140.632624865
"278","ABCD_1703",26,"dath-3.wav","T","D","D","m",1.62070798874,142.519402027
"279","ABCD_1703",27,"dath-6.wav","T","D","T","z",1.45387101173,144.23980689
"280","ABCD_1703",28,"dath-2.wav","T","D","D","m",1.18160700798,145.676100969
"281","ABCD_1703",29,"giss-6.wav","G","K","K","m",3.82962298393,150.804207087
"282","ABCD_1703",30,"giss-3.wav","G","K","G","z",1.74486684799,152.807926893
"283","ABCD_1703",31,"giss-1.wav","G","K","G","z",1.47712302208,154.544990063
"284","ABCD_1703",32,"giss-7.wav","G","K","K","m",1.49199104309,156.298702955
"285","ABCD_1703",33,"giss-2.wav","G","K","G","z",1.44216609001,158.002351999
"286","ABCD_1703",34,"giss-4.wav","G","K","G","z",1.40252900124,159.672570944
"287","ABCD_1703",35,"giss-5.wav","G","K","G","z",1.5482480526,161.47634697
