PartID,Subject,trialNum,cond,soundfile,leftprompt,rightprompt,response,correct,keyResp,keyRT,Time
5220,2,25,2-c,box-chalks-2-c.wav,stim14_1,stim14_2,chalks,1,m,6.846962153,226.8166766
5220,2,26,1-c,blue-glue-1-c.wav,stim59_2,stim59_1,glue,1,m,5.567162505,232.6326641
5220,2,27,1-n,glass-class-1-n.wav,stim63_2,stim63_1,class,1,m,5.198048017,238.0797184
5220,2,28,1-n,race-case-1-n.wav,stim57_2,stim57_1,race,1,m,4.709874443,243.0377374
5220,2,29,2-c,tool-pool-2-c.wav,stim39_2,stim39_1,pool,1,z,4.455876075,247.7418333
5220,2,30,1-i,robe-globe-1-i.wav,stim53_1,stim53_2,robe,0,z,3.548041042,251.5387985
5220,2,31,2-i,grip-drip-2-i.wav,stim56_1,stim56_2,drip,0,m,5.301509715,257.0888287
5220,2,32,2-i,jet-pet-2-i.wav,stim34_1,stim34_2,pet,0,m,5.590768983,262.9278836
5220,2,33,2-n,lips-chips-2-n.wav,stim64_1,stim64_2,lips,1,z,5.648110186,268.8248933
5220,2,34,1-i,bees-peas-1-i.wav,stim1_1,stim1_2,bees,0,z,5.395028663,274.468959
5220,2,35,1-c,train-grain-1-c.wav,stim37_1,stim37_2,train,1,z,7.796194333,282.5139745
5220,2,36,2-n,date-gate-2-n.wav,stim36_1,stim36_2,gate,1,m,3.813287486,286.576001
5220,2,37,2-c,beach-peach-2-c.wav,stim8_1,stim8_2,peach,1,m,4.882231035,291.7070688
5220,2,38,1-i,bug-rug-1-i.wav,stim13_2,stim13_1,rug,0,z,4.165640664,296.1210669
5220,2,39,1-i,bank-tank-1-i.wav,stim32_1,stim32_2,bank,0,z,4.300878339,300.6702046
5220,2,40,1-c,drain-brain-1-c.wav,stim43_1,stim43_2,drain,1,z,4.443932383,305.363992
5220,2,41,2-c,tube-cube-2-c.wav,stim61_2,stim61_1,tube,1,z,5.39640355,311.0091878
5220,2,42,1-c,lamp-ramp-1-c.wav,stim65_2,stim65_1,lamp,1,m,5.343723356,316.6012021
5220,2,43,1-c,toy-boy-1-c.wav,stim31_1,stim31_2,boy,1,z,4.776447956,321.6262967
5220,2,44,1-n,dots-pots-1-n.wav,stim47_1,stim47_2,pots,0,m,4.778577377,326.6533148
